GW,GP,GR,TM,TC,TV,OP,OR,Trend
Gameweek01,47,1380515,0,0,100.0,47,1380515,up
Gameweek02,56,428600,0,0,100.0,103,646175,up
Gameweek03,49,906765,1,0,100.0,152,545776,up
Gameweek04,63,918446,2,0,100.0,215,468761,up
Gameweek05,38,1298384,0,0,100.1,253,468660,up
Gameweek06,36,2002488,1,0,100.2,289,540969,down
Gameweek07,46,2278675,1,0,100.5,335,749756,down
Gameweek08,56,1077814,2,0,100.7,391,708221,up
Gameweek09,42,1109552,1,0,100.1,433,674738,up
Gameweek10,68,256615,0,0,99.9,501,431057,up
Gameweek11,79,71948,1,0,99.9,580,249159,up
Gameweek12,42,2061035,2,0,99.8,622,283688,down
Gameweek13,47,700086,2,4,99.7,665,249804,up
Gameweek14,73,221662,0,0,100.0,738,168671,up
Gameweek15,27,2649510,2,0,100.3,765,201618,down
Gameweek16,55,947046,2,4,100.3,816,218444,down
Gameweek17,63,459818,1,0,100.7,879,176216,up
Gameweek18,81,315219,1,0,100.7,960,135559,up
Gameweek19,43,966365,2,4,101.0,999,140572,down
Gameweek20,56,459239,0,0,101.3,1055,112797,up
Gameweek21,72,486994,2,0,101.8,1127,96321,up
Gameweek22,51,1872011,1,0,102.3,1178,108848,down
Gameweek23,44,1804033,1,0,102.4,1222,156298,down
Gameweek24,54,562037,0,0,101.7,1276,147093,up
Gameweek25,69,56597,1,0,101.9,1345,98300,up
Gameweek26,72,56761,0,0,102.4,1417,66558,up
Gameweek27,49,436540,1,0,102.6,1466,54761,up
Gameweek28,82,456532,2,0,102.8,1548,50594,up
Gameweek29,23,3341768,0,0,103.0,1571,64742,down
Gameweek30,79,576828,2,0,102.8,1650,62267,up
Gameweek31,79,254143,0,0,102.7,1729,47750,up
Gameweek32,63,269798,1,0,102.6,1792,36168,up
Gameweek33,56,251024,1,0,102.6,1848,31113,up
Gameweek34,61,930807,3,4,102.2,1905,33269,down
Gameweek35,49,1196181,1,0,102.2,1954,37539,down
Gameweek36,85,132540,0,0,101.9,2039,29208,up
Gameweek37,75,38140,1,0,102.0,2114,21490,up
Gameweek38,34,2293649,2,4,101.9,2144,26147,down
